arquivo, memoria, tempo, confiança, predito
p105_s00_a01.wav, 496272, 0:05.50, 0.7319506406784058,105
p13_s04_a00.wav, 481180, 0:05.24, 0.7135529518127441,94
p14_s04_a00.wav, 492212, 0:05.01, 0.18194839358329773,89
p27_s01_a01.wav, 488660, 0:04.97, 0.20841357111930847,29
p53_s00_a00.wav, 493548, 0:05.02, 0.9891485571861267,53
p58_s01_a01.wav, 474136, 0:04.99, 0.2056843638420105,70
p65_s04_a01.wav, 475476, 0:05.37, 0.29292070865631104,65
p81-s04-a00.wav, 485548, 0:04.80, 0.7045329213142395,81
p82-s00-a01.wav, 485028, 0:04.92, 0.16304904222488403,94
p84-s01-a00.wav, 494420, 0:05.05, 0.5679968595504761,91
