arquivo, memoria, tempo, predito
p105_s00_a01.wav, 567912, 0:03.62, 77
p13_s04_a00.wav, 558052, 0:03.74, 55
p14_s04_a00.wav, 567876, 0:04.21, 55
p27_s01_a01.wav, 555788, 0:04.62, 12
p53_s00_a00.wav, 557516, 0:03.79, 52
p58_s01_a01.wav, 565556, 0:04.15, 55
p65_s04_a01.wav, 567904, 0:04.52, 90
p81-s04-a00.wav, 554804, 0:04.43, 100
p82-s00-a01.wav, 567696, 0:04.39, 12
p84-s01-a00.wav, 570900, 0:04.10, 5
